Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 107.0.0.0,,,2022-11-22 09:08:08,2022-11-22 09:08:26,"17,469s",PASSED
,,,,,,,
Test Cases/RunFeatureFile,Chrome 107.0.0.0,,,2022-11-22 09:08:09,2022-11-22 09:08:26,"17,314s",PASSED
"runFeatureFile(""Include/features/Login.feature"")",Chrome 107.0.0.0,,,2022-11-22 09:08:09,2022-11-22 09:08:26,"17,096s",PASSED
"runFeatureFolder(""Include/features"")",Chrome 107.0.0.0,,,2022-11-22 09:08:26,2022-11-22 09:08:26,"0,001s",NOT_RUN
runWithCucumberRunner(class),Chrome 107.0.0.0,,,2022-11-22 09:08:26,2022-11-22 09:08:26,"0,000s",NOT_RUN
