Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-28 17:32:20,2022-11-28 17:32:43,"22,624s",PASSED
,,,,,,,
Test Cases/TC_ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-28 17:32:20,2022-11-28 17:32:43,"22,466s",PASSED
"runFeatureFile(""Include/features/Login.feature"")",Chrome 107.0.0.0,,,2022-11-28 17:32:20,2022-11-28 17:32:39,"18,928s",PASSED
"runFeatureFile(""Include/features/ConsultarAfiliado.feature"")",Chrome 107.0.0.0,,,2022-11-28 17:32:39,2022-11-28 17:32:43,"3,330s",PASSED
