Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2022-11-22 08:55:09,2022-11-22 08:55:09,"0,447s",ERROR
,,,,,,,
Test Cases/RunFeatureFile,,,,2022-11-22 08:55:09,2022-11-22 08:55:09,"0,011s",ERROR
"runFeatureFile(""Include/features/Login.feature"")",,,,2022-11-22 08:55:09,2022-11-22 08:55:09,"0,000s",NOT_RUN
"runFeatureFolder(""Include/features"")",,,,2022-11-22 08:55:09,2022-11-22 08:55:09,"0,000s",NOT_RUN
runWithCucumberRunner(class),,,,2022-11-22 08:55:09,2022-11-22 08:55:09,"0,002s",ERROR
