Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-29 13:42:30,2022-11-29 13:42:50,"20,087s",PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 107.0.0.0,,,2022-11-29 13:42:30,2022-11-29 13:42:46,"16,346s",PASSED
"runFeatureFile(""Include/features/Login.feature"")",Chrome 107.0.0.0,,,2022-11-29 13:42:30,2022-11-29 13:42:46,"16,079s",PASSED
,,,,,,,
Test Cases/TC_ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-29 13:42:46,2022-11-29 13:42:50,"3,529s",PASSED
"runFeatureFile(""Include/features/ConsultarAfiliado.feature"")",Chrome 107.0.0.0,,,2022-11-29 13:42:47,2022-11-29 13:42:50,"3,322s",PASSED
