Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-29 11:23:34,2022-11-29 11:24:07,"32,988s",PASSED
,,,,,,,
Test Cases/TC_ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-29 11:23:34,2022-11-29 11:24:07,"32,739s",PASSED
"runFeatureFile(""Include/features/Login.feature"")",Chrome 107.0.0.0,,,2022-11-29 11:23:35,2022-11-29 11:24:04,"28,992s",PASSED
"runFeatureFile(""Include/features/ConsultarAfiliado.feature"")",Chrome 107.0.0.0,,,2022-11-29 11:24:04,2022-11-29 11:24:07,"3,458s",PASSED
