Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-28 17:21:23,2022-11-28 17:21:41,"18,124s",PASSED
,,,,,,,
Test Cases/TC_ConsultarAfiliado,Chrome 107.0.0.0,,,2022-11-28 17:21:23,2022-11-28 17:21:41,"17,969s",PASSED
"runFeatureFile(""Include/features/Login.feature"")",Chrome 107.0.0.0,,,2022-11-28 17:21:23,2022-11-28 17:21:38,"14,689s",PASSED
"runFeatureFile(""Include/features/ConsultarAfiliado.feature"")",Chrome 107.0.0.0,,,2022-11-28 17:21:38,2022-11-28 17:21:41,"3,081s",PASSED
